ver:"3.0" id:@396a2669-cb8d-491e-81a1-53360d297f4a hisStart:2022-06-05T18:54:11-00:00 Amsterdam hisEnd:2022-06-08T18:54:11-00:00 Amsterdam
ts,val
2022-06-06T16:48:54-00:00 Amsterdam,543
2022-06-06T16:53:54-00:00 Amsterdam,545
2022-06-06T16:58:54-00:00 Amsterdam,525
2022-06-06T17:03:54-00:00 Amsterdam,532
2022-06-06T17:08:54-00:00 Amsterdam,532
2022-06-06T17:13:54-00:00 Amsterdam,547
2022-06-06T17:18:54-00:00 Amsterdam,532
2022-06-06T17:28:54-00:00 Amsterdam,572
2022-06-06T17:33:53-00:00 Amsterdam,593
2022-06-06T17:38:53-00:00 Amsterdam,593
2022-06-06T17:43:53-00:00 Amsterdam,554
2022-06-06T17:48:53-00:00 Amsterdam,537
2022-06-06T17:53:53-00:00 Amsterdam,527
2022-06-06T17:58:54-00:00 Amsterdam,521
2022-06-06T18:03:53-00:00 Amsterdam,514
2022-06-06T18:08:53-00:00 Amsterdam,501
2022-06-06T18:13:53-00:00 Amsterdam,489
2022-06-06T18:18:53-00:00 Amsterdam,486
2022-06-06T18:23:53-00:00 Amsterdam,480
2022-06-06T18:28:53-00:00 Amsterdam,474
2022-06-06T18:33:53-00:00 Amsterdam,468
2022-06-06T18:38:53-00:00 Amsterdam,484
2022-06-06T18:43:53-00:00 Amsterdam,520
